,2010.0,2011.0,2012.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,change_14to19
Agricultural Equipment Operators,0.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0
Alfalfa,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
All miscellaneous farm activities,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Apples,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
BOSC PEAR,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
"BURLEY TOBACCO, HAY AND FARM WORK.",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Beets,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
Berries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0
Blackberries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0
Blueberries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Broccoli,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cattle,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cherries,0.0,0.0,0.0,0.0,0.0,59.0,27.0,139.0,125.0,125.0
Christmas Trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,32.0
Cilantro,0.0,14.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Corn,0.0,31.0,0.0,0.0,2.0,36.0,0.0,40.0,0.0,0.0
Fruits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Fruits and Vegetables,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,12.0,12.0
Garlic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
General Farm Workers,0.0,0.0,0.0,0.0,0.0,0.0,58.0,521.0,250.0,250.0
Goats,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Grapes,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0
Grass,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Hand Harvester,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
Harvester,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
Hay and Straw,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hops,0.0,0.0,0.0,0.0,0.0,28.0,88.0,90.0,0.0,0.0
Irrigator,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lettuce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Livestock,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Livestock Worker,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-Crop - Sheep Herder,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nursery or greenhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
Onions,0.0,0.0,0.0,0.0,0.0,45.0,8.0,130.0,42.0,42.0
Open Range Livestock,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,6.0
Open Range Livestock Worker,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Orchard Labor,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,1.0,2.0,4.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0
Pack Vegetables,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pears,0.0,0.0,0.0,0.0,0.0,250.0,0.0,192.0,116.0,116.0
Peas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Pepper,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peppers,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Potatoes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Pumpkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Radish,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0
Radishes,0.0,0.0,0.0,0.0,0.0,27.0,0.0,78.0,99.0,99.0
Row Crop Supervisors / Managers,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheep,9.0,40.0,15.0,7.0,5.0,32.0,19.0,37.0,26.0,19.0
Strawberries,0.0,0.0,0.0,0.0,0.0,151.0,16.0,52.0,294.0,294.0
Supervisor,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
Vegetables,0.0,0.0,0.0,0.0,0.0,49.0,0.0,13.0,0.0,0.0
Vine Crops,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vineyard irrigation worker,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Watermelons,0.0,0.0,0.0,0.0,0.0,22.0,0.0,30.0,15.0,15.0
Wheat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0
cattle rancher,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
leeks,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
"picking cherries, corn detasselling, harvesting,et",0.0,0.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.0
"pumpkin, squash, cucumber",0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
